鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北投區,房地(土地+建物),臺北市北投區自強街４６巷１３之２號四樓,24.3,都市：其他:第三種住宅區。,,,1101118,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670130,80.50999999999999,2,2,1,有,無,13200000,163955,,0.0,0,陽台加鐵窗、主建物部分面積變更作陽台使用其他增建；,RPSPMLTJKIGGFEA08DA,63.63,0.0,14.53,無,
士林區,房地(土地+建物),臺北市士林區中山北路七段８１巷３０號二樓之６,12.44,都市：其他:第二種住宅區。,,,1101112,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680828,86.01,3,2,2,有,有,15200000,176724,,0.0,0,,RPXOMLNJKIGGFEA87DA,74.02,0.0,2.99,有,
士林區,房地(土地+建物),臺北市士林區中正路７０７巷１５號六樓,20.77,都市：其他:第三之二種住宅區。,,,1101116,土地3建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721011,103.67999999999999,3,2,2,有,有,10500000,101273,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPLJIGGFEA67DA,68.93,0.0,9.01,有,
北投區,房地(土地+建物),臺北市北投區大業路５２９號六樓之６,17.56,都市：其他:第三種住宅區。,,,1101112,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,96.28999999999999,3,1,1,有,有,12000000,124624,,0.0,0,陽台外推；夾層；其他增建；,RPPNMLKMJIGGFEA86DA,31.25,25.52,5.47,有,
北投區,房地(土地+建物),臺北市北投區西安街二段２６７號二樓之１,6.12,都市：其他:第三種住宅區。,,,1101120,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981123,25.0,1,0,1,有,有,6680000,267200,,0.0,0,陽台外推；夾層；其他增建；,RPTNMLKMJIGGFEA27DA,13.31,0.73,2.25,有,
南港區,房地(土地+建物),臺北市南港區東新街１１８巷２１號三樓,35.88,都市：其他:第二種住宅區。,,,1101129,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760629,122.58,3,2,2,有,無,21000000,171317,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLQKKIGGFDA37DA,91.85,0.0,9.72,無,
信義區,房地(土地+建物),臺北市信義區吳興街６００巷１３２號五樓,23.83,都市：其他:第三種住宅區。,,,1101118,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780516,96.75,3,2,2,有,無,12780000,132093,,0.0,0,陽台外推；,RPPPMLQKKIGGFDA47DA,84.75,0.0,8.78,無,
信義區,房地(土地+建物),臺北市信義區吳興街２６９巷１弄２１號六樓,22.88,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1101114,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720224,109.93,3,2,2,有,無,24500000,222869,,0.0,0,陽台外推；,RPSPMLQKKIGGFDA77DA,81.39,12.53,3.87,有,
北投區,土地,八仙段二小段300-1地號,1156.99,都市：其他:堤防用地(公共設施用地)。80/11/2,,,1101029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35000000,30251,,0.0,0,,RPRPMLSLIIGGFEA87DA,0.0,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區中坡南路２７７號三樓,5.57,都市：其他:第三種商業區。,,,1101130,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660331,12.23,3,1,1,有,無,1800000,147179,,0.0,0,此買賣包含松山區寶清段二小段169地號持分1/6收件號110年信義字第116360號親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPVQMLPKKIGGFDA08DA,11.4,0.0,0.82,無,
信義區,車位,中坡南路２０１巷１８號二樓等共有部分,0.31,都市：其他:第三種住宅區。,,,1101130,土地1建物1車位1,,,其他,,,,32.77,0,0,0,有,有,2650000,,坡道平面,32.77,2650000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPXRMLPKKIGGFDA38DA,0.0,0.0,0.0,有,
信義區,房地(土地+建物),臺北市信義區林口街２４巷８號三樓,36.0,住,,,1101130,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,67.65,2,2,1,有,無,11100000,164080,,0.0,0,,RPXPMLPKKIGGFDA18DA,67.65,0.0,0.0,無,
南港區,土地,玉成段三小段717-4地號,9.73,都市：其他:第壹種商業區(依都市計畫說明書圖規定辦理，始得作第壹種商業區使用)(原屬第參之壹種住宅區)。,,,1101117,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7357500,756166,,0.0,0,,RPUPMLSJKIGGFDA08DA,0.0,0.0,0.0,無,
